state,region_name,functional_class,source,ped_fatal_rate,bike_fatal_rate,mv_fatal_rate,all_fatal_rate
AK,West,Expressway,hpms and fars,0.0025920625230968215,0.00018515038377045799,0.016292930396249756,0.019255288716324568
AL,South,Expressway,hpms and fars,0.02123840027811936,0.00019292412197820534,0.09401768302219189,0.11544900742228945
AR,South,Expressway,hpms and fars,0.02173398785493389,0.00042701784614333494,0.07230738191892724,0.09446838762000445
AS,Territories,Expressway,national average,0.013811032350597446,0.00031686160208677783,0.06644855487913753,0.08061299329189434
AZ,West,Expressway,hpms and fars,0.01338620089962585,0.0008406915941433961,0.1001977034241663,0.1145673018943905
CA,West,Expressway,hpms and fars,0.05340320024713444,0.0018392743361005971,0.16696261655901767,0.22243521517045597
CO,West,Expressway,hpms and fars,0.010728609302623912,0.0006131291261307025,0.07939749022267342,0.09089254703621885
CT,Northeast,Expressway,hpms and fars,0.012789441227833789,0.0,0.10487356526976535,0.11766300649759916
DC,South,Expressway,hpms and fars,0.02906613441860182,0.0,0.06498117278533382,0.09404730720393564
DE,South,Expressway,hpms and fars,0.03607781430360196,0.0018385732671446955,0.1222598125580939,0.16017620012884054
FL,South,Expressway,hpms and fars,0.026128492971672117,0.0004421037240466143,0.15007615742365235,0.1768227082305389
GA,South,Expressway,hpms and fars,0.0349750916021581,0.00014053618771699665,0.13525779888940884,0.17037342667928393
GU,Territories,Expressway,national average,0.013811032350597446,0.00031686160208677783,0.06644855487913753,0.08061299329189434
HI,West,Expressway,hpms and fars,0.029380522973308926,0.0,0.061021086175333916,0.09040160914864284
IA,Midwest,Expressway,hpms and fars,0.0045478618968339815,0.0,0.039205537763952955,0.04375339966078694
ID,West,Expressway,hpms and fars,0.004005147643812814,0.00028334110160186895,0.04492625272589196,0.049214741471306646
IL,Midwest,Expressway,hpms and fars,0.00782565044401511,8.505317950048267e-05,0.06226408975368558,0.07017479337720117
IN,Midwest,Expressway,hpms and fars,0.008154213168433344,0.00012535153270452828,0.05833031631132911,0.06660988101246698
KS,Midwest,Expressway,hpms and fars,0.00489111164240034,0.00013565585195605563,0.044706328971987855,0.049733096466344245
KY,South,Expressway,hpms and fars,0.008252512443146042,0.0001422875859772738,0.05307218132719684,0.06146698135632016
LA,South,Expressway,hpms and fars,0.02502585912782851,0.0009214008621716062,0.08855471931800703,0.11468461903653145
MA,Northeast,Expressway,hpms and fars,0.010410829932899,0.0,0.07687828048231538,0.08728911041521438
MD,South,Expressway,hpms and fars,0.031014752747411344,0.0006999597386916476,0.08883754677038884,0.12055225925649182
ME,Northeast,Expressway,hpms and fars,0.003115886644919597,0.0,0.02700598864653973,0.030121875291459328
MI,Midwest,Expressway,hpms and fars,0.009710976980144653,0.0,0.058164310465696256,0.06787528744584091
MN,Midwest,Expressway,hpms and fars,0.0029119892494748967,0.0003425415831354825,0.03477330463725228,0.038199146521909526
MO,Midwest,Expressway,hpms and fars,0.010797586285931615,0.00046671636401697655,0.052986473308157714,0.06425077595810631
MP,Territories,Expressway,national average,0.013811032350597446,0.00031686160208677783,0.06644855487913753,0.08061299329189434
MS,South,Expressway,hpms and fars,0.018537206712965777,0.0,0.07437249397569351,0.0929097006886593
MT,West,Expressway,hpms and fars,0.002012349190919755,0.0,0.02515487880858593,0.027167227999505682
NC,South,Expressway,hpms and fars,0.01757899090801544,0.00017968380545091775,0.07376149218732243,0.09161037641690042
ND,Midwest,Expressway,hpms and fars,0.0014012397468660398,0.0,0.018216116709258517,0.019617356456124557
NE,Midwest,Expressway,hpms and fars,0.004020096102743479,0.0,0.034701521486244655,0.038721617588988136
NH,Northeast,Expressway,hpms and fars,0.002594955082969838,0.0,0.04151925186727348,0.044114206950243325
NJ,Northeast,Expressway,hpms and fars,0.024782608695652172,0.0004347826086956521,0.11130434782608693,0.13652173913043478
NM,West,Expressway,hpms and fars,0.017801895365613902,0.0,0.06270223137184285,0.08050412673745674
NV,West,Expressway,hpms and fars,0.012467991128070243,0.0,0.06443353658068066,0.07690152770875089
NY,Northeast,Expressway,hpms and fars,0.01001165139126109,0.0003652418923501389,0.045817640519174176,0.0562676021052078
OH,Midwest,Expressway,hpms and fars,0.009298904774024964,8.023759957987594e-05,0.05604558236607117,0.065424724739676
OK,South,Expressway,hpms and fars,0.014964785959953628,0.000703901061940559,0.06364354550587714,0.07931223252777134
OR,West,Expressway,hpms and fars,0.014562707521074187,0.0005011526510975242,0.03617055122822023,0.051234411400391935
PA,Northeast,Expressway,hpms and fars,0.005749505970818461,0.0001438838051942773,0.04584875143783318,0.05174214121384592
PR,Territories,Expressway,national average,0.013811032350597446,0.00031686160208677783,0.06644855487913753,0.08061299329189434
RI,Northeast,Expressway,hpms and fars,0.01000761870987273,0.0012336084280127801,0.0840629688676987,0.09530419600558422
SC,South,Expressway,hpms and fars,0.020005583965535628,0.0008156712538029021,0.10453210051603438,0.12535335573537293
SD,Midwest,Expressway,hpms and fars,0.0018236908634475615,0.00020164989947752508,0.01821971924930394,0.020245060012229026
TN,South,Expressway,hpms and fars,0.02041276527626445,0.0007110120175442224,0.10768452581062356,0.12880830310443225
TX,South,Expressway,hpms and fars,0.03626206358266343,0.0007181264374868594,0.11577605701962586,0.1528765014741083
UT,West,Expressway,hpms and fars,0.004989003585256667,0.0,0.04727961753733566,0.052467272281225205
VA,South,Expressway,hpms and fars,0.01118653402311182,0.0001268456035313816,0.08210532238892607,0.09341870201556926
VI,Territories,Expressway,national average,0.013811032350597446,0.00031686160208677783,0.06644855487913753,0.08061299329189434
VT,Northeast,Expressway,hpms and fars,0.000595349723311216,0.0,0.01901114290197681,0.019606492625288026
WA,West,Expressway,hpms and fars,0.011011856893556276,0.00022243625533012877,0.04237953828369783,0.05361383143258423
WI,Midwest,Expressway,hpms and fars,0.004072881562072096,0.0,0.03708078270001372,0.041294049619893
WV,South,Expressway,hpms and fars,0.0038618206402380715,0.0,0.05087078637021403,0.05473260701045211
WY,West,Expressway,hpms and fars,0.0021842556942285084,0.0,0.02883106619318252,0.03101532188741103
AK,West,Local Road,hpms and fars,6.812966608373221e-05,1.702871705815971e-05,0.0002914653969155821,0.000376623780057474
